,Pearson's Correlation Coefficient
RND3,0.361
TK1,0.361
KLF14,0.361
ENSG00000282057,0.361
IRX4,0.361
CDC45,0.361
TRIM16,0.361
UCN2,0.361
CEACAMP10,0.36
FAXC,0.36
ENSG00000272202,0.36
ASPM,0.36
ENSG00000261762,0.36
CDK4,0.36
NEK2,0.36
PLK1,0.359
FOXA1,0.359
TOP2A,0.359
MCM10,0.359
ENSG00000263585,0.359
GPR156,0.359
ALOXE3,0.358
CDKN3,0.358
HOXB5,0.357
FBXO17,0.357
ENSG00000242391,0.357
ZFPM2-AS1,0.357
DSCC1,0.357
EPHA2-AS1,0.357
PHLDA2,0.357
LINC02163,0.357
TROAP-AS1,0.356
RAET1K,0.356
KIF14,0.356
NME1,0.356
GBX2-AS1,0.356
CENPA,0.356
LAMB1,0.356
FOXC2,0.356
ENSG00000250874,0.356
CENPN,0.356
DEPDC1P1,0.356
ENSG00000272438,0.356
NQO1,0.355
RN7SL689P,0.355
ASS1,0.355
MIR193BHG,0.355
ENSG00000224269,0.355
INHA,0.355
ENSG00000277182,0.354
TLCD3A,0.354
PAQR5,0.354
SDC1,0.354
CENPF,0.354
KIAA1549,0.354
CDC25C,0.354
ALDH1A3,0.354
HOXA4,0.354
FBLN1,0.353
SIX5,0.353
CCND1,0.353
KRT75,0.353
KRT17,0.352
CCNB2,0.352
GPSM2,0.352
FKBP9P1,0.352
ENSG00000241180,0.352
MAFG-DT,0.352
TLCD1,0.352
SMAD6,0.352
FAM83D,0.352
PPP1R14B-AS1,0.352
HJURP,0.352
DEPDC1-AS1,0.352
POPDC3,0.352
BCAR1,0.352
ENSG00000276223,0.351
KPNA2,0.351
LIFR-AS1,0.351
CMKLR2,0.351
ENSG00000254973,0.351
MIR1469,0.351
TBX1,0.351
GJC1,0.351
ENSG00000271930,0.35
GBX2,0.35
PCLAF,0.35
MEIS3,0.35
BCYRN1,0.35
TENT5B,0.35
ZYG11A,0.35
HMMR,0.35
DHRS2,0.35
RRM1,0.35
CDCA5,0.349
RAD54L,0.349
SHCBP1,0.349
TENM3,0.349
CENPI,0.349
SERPINH1,0.349
FKBP9,0.349
SEZ6L2,0.348
FERMT1,0.348
ENSG00000204049,0.348
E2F7,0.348
CTXN1,0.348
CDCA2,0.348
KRT8,0.348
IL11,0.348
FAM83B,0.348
PCOLCE2,0.348
GINS1,0.348
ENSG00000214147,0.347
ESPL1,0.347
HMMR-AS1,0.347
GPR78,0.347
KRT8P36,0.347
ENSG00000285991,0.346
MYO1B-AS1,0.346
TJP1,0.346
ULBP3,0.346
IQANK1,0.346
EPHA2,0.346
SPATA17-AS1,0.346
FAT1,0.346
XRCC2,0.346
ADAMTS15,0.346
PTPRU,0.346
LURAP1L,0.346
CPZ,0.346
ALPP,0.346
ENSG00000261189,0.346
ENSG00000273132,0.345
TWIST2,0.345
CD276,0.345
ENSG00000257830,0.345
KIRREL1,0.345
HTR1D,0.345
LRP11,0.345
KREMEN2,0.345
MCM4,0.344
P4HA2,0.344
TTK,0.344
CTSV,0.344
KRT18P17,0.344
LINC01411,0.344
SLC26A10,0.343
PKP3,0.343
HOXA-AS2,0.343
DLGAP5,0.343
DYNC2I2,0.343
S100A13,0.343
HOXB-AS3,0.342
ENSG00000232821,0.342
KIFC1,0.342
P4HA2-AS1,0.342
LINC00052,0.342
LRRC15,0.342
SPC24,0.342
KITLG,0.342
CDKN2A-DT,0.342
PTHLH,0.342
PSG5,0.342
ENSG00000259605,0.342
PHGDH,0.342
C1QL1,0.341
CGA,0.341
PHKA1,0.341
CKAP2L,0.341
ARHGAP39,0.341
LINC01290,0.341
ENSG00000255886,0.341
IFT22,0.341
NR2F1,0.341
CENPN-AS1,0.341
ENSG00000224818,0.341
ENSG00000254553,0.341
LASTR,0.341
IGFL2-AS1,0.341
NFIB,0.34
TEDC2,0.34
PRAC2,0.34
CDC25A,0.34
EML1,0.34
LHX1,0.34
ZBTB45P2,0.34
VANGL1,0.34
C1QTNF2,0.34
BUB1B,0.34
WNT9A,0.34
FOXL1,0.34
GPR176,0.34
ENSG00000248515,0.34
ENSG00000251537,0.339
CERCAM,0.339
TWIST1,0.339
ENSG00000280179,0.339
WWTR1,0.339
ENSG00000261116,0.339
MYO1C,0.339
TOB2P1,0.339
ENSG00000276850,0.339
CHAF1B,0.339
WDR62,0.339
MEX3A,0.339
LINC00466,0.339
CAV1,0.339
KRT32,0.339
RUVBL1,0.339
ZNF503-AS2,0.339
FOXD3,0.339
KRT18P38,0.338
TEAD2,0.338
SLC25A21,0.338
CDCA3,0.338
ENSG00000225096,0.338
TANC1,0.337
ZBTB8A,0.337
SPR,0.337
LHX1-DT,0.337
ADPRHL1,0.337
ADRA2C,0.337
CTPS1,0.337
ABCA12,0.337
CCNF,0.337
NR2F2-AS1,0.337
ENSG00000285759,0.337
SHROOM3,0.337
ATP6V1B1-AS1,0.337
ENSG00000278964,0.337
RBFOX2,0.337
PCDH7,0.337
LPIN3,0.337
GATA6,0.337
DTL,0.337
SPC25,0.336
HES7,0.336
TACC2,0.336
ID1,0.336
TRIM45,0.336
KIAA0895,0.336
ENSG00000277723,0.336
ENSG00000258691,0.336
GINS2,0.336
MIR1915HG,0.336
ENSG00000256663,0.336
SAMD11,0.336
LINC02709,0.335
MID1,0.335
GLI3,0.335
ZWINT,0.335
ARHGAP29,0.335
KRT18P11,0.335
ENSG00000284512,0.335
OIP5,0.335
LINC02925,0.334
ZIC2,0.334
KRT18P28,0.334
NUSAP1,0.334
BDKRB2,0.334
KRT86,0.334
CYP27C1,0.333
B4GALT2,0.333
NEK2P4,0.333
ENSG00000254337,0.333
CDK2,0.333
KRT18,0.333
HSPB8,0.333
BRIP1,0.333
DLG5,0.333
FZD7,0.332
USP2-AS1,0.332
RRM2,0.332
UCK2,0.332
PTPN21,0.332
ENSG00000260604,0.332
GPC1,0.332
ENSG00000255629,0.332
GNGT1,0.332
FOXO6,0.332
MAGEA12,0.331
MAGEB6,0.331
ENSG00000255817,0.331
FRMD6-AS1,0.331
COL1A1,0.331
C1ORF53,0.331
THAP10,0.331
GLI2,0.331
JPH1,0.331
CTTN,0.331
PTPRF,0.331
SLC4A11,0.331
ADGRF4,0.331
CFAP300,0.331
ARHGEF17-AS1,0.33
IGSF3,0.33
STRA6,0.33
AHNAK2,0.33
HAGLROS,0.33
AKNAD1,0.33
KIF18A,0.33
CASKIN2,0.33
ARHGEF4-AS1,0.33
SP6,0.33
RASAL2-AS1,0.33
LINC02875,0.329
AURKB,0.329
PSMD2,0.329
GULP1,0.329
CKS1B,0.329
LINC01605,0.329
ENSG00000272473,0.329
NUF2,0.329
PARVA,0.329
C6ORF141,0.329
KRT8P3,0.329
SMTN,0.329
ENSG00000259744,0.329
ARHGEF16,0.328
ENSG00000262768,0.328
RASSF8,0.328
PADI1,0.328
LRRC58-DT,0.328
ENSG00000232935,0.328
MAGEA1,0.328
PRECSIT,0.328
CHEK1,0.328
MCM2,0.328
ZBTB45P1,0.328
CA12,0.328
MIPOL1,0.328
LHX9,0.328
SPATS2,0.328
SERPINB5,0.327
FBLIM1,0.327
SATB2-AS1,0.327
RNF223,0.327
ENSG00000279006,0.327
PCGF2,0.327
KIF11,0.326
ENSG00000266283,0.326
TUBG1,0.326
ARHGEF28,0.326
SKA3,0.326
WNT5A-AS1,0.326
AIMP2,0.326
ENSG00000285018,0.326
HASPIN,0.326
KRT18P16,0.326
ENSG00000261266,0.325
LINC00842,0.325
TM4SF1-AS1,0.325
PKMYT1,0.325
ASS1P10,0.325
SEMA3C,0.325
PICART1,0.325
KRT18P29,0.325
KRT18P10,0.325
IGF2BP1,0.325
TULP3,0.325
PKM,0.325
MKI67,0.324
ENSG00000229257,0.324
SPDL1,0.324
EMILIN3,0.324
HSPA12A-AS1,0.324
HROB,0.324
LINC02874,0.324
ESCO2,0.324
ENSG00000259711,0.324
VGLL3,0.324
SH2D5,0.324
ENSG00000284681,0.324
ENSG00000257829,0.324
EPB41L1,0.324
TOM1L1,0.324
LINC00165,0.323
RGS9BP,0.323
FERMT2,0.323
RAD51,0.323
ZNF695,0.323
EPHB4,0.323
TMEM132A,0.322
RBPMS-AS1,0.322
KANK2,0.322
PTGFRN,0.322
CDCA8,0.322
TYMS,0.322
ASS1P3,0.322
EFEMP1,0.322
GAS2L3,0.322
MTHFD1,0.322
ZNF670-ZNF695,0.322
LINC01977,0.322
KLRG2,0.322
RIMS4,0.322
KRT18P65,0.322
ENSG00000260470,0.322
C5ORF34,0.322
MND1,0.322
IL17RD,0.322
NCAPG2,0.322
RASEF,0.322
TNNT1,0.322
CCT7,0.322
ENSG00000272692,0.321
ITGA3,0.321
ARHGAP11A,0.321
WNT5A,0.321
ENSG00000270087,0.321
KNSTRN,0.321
KIF26A-DT,0.321
BAIAP2L1,0.321
SFN,0.321
ATAD2,0.321
ORC6,0.321
ENSG00000257635,0.321
NR2F1-AS1,0.321
SLC25A10,0.32
MIR4321,0.32
ENSG00000273760,0.32
ENSG00000280152,0.32
NEIL3,0.32
PKD1L2,0.32
ENSG00000260892,0.32
TBX4,0.32
ZNF887P,0.32
GNPNAT1,0.319
LAMA5-AS1,0.319
ENSG00000285396,0.319
PARPBP,0.319
AMH,0.319
ENSG00000275223,0.319
CCT2,0.319
ENSG00000253414,0.318
ENSG00000227496,0.318
PLS3,0.318
LINC01711,0.318
ADCY6,0.318
FHL2,0.318
PRSS54,0.318
PAICS,0.318
RECQL4,0.318
SPACA6-AS1,0.318
EMSLR,0.318
BCAR3,0.318
CENPL,0.318
LINC02454,0.318
TUFT1,0.318
POLD2,0.318
KLF17,0.318
OBSL1,0.318
SBSN,0.318
PRR11,0.317
MIR5689HG,0.317
LINC00319,0.317
NCS1,0.317
PA2G4,0.317
SIM1,0.317
MIR4653,0.317
DAB2IP,0.317
CT83,0.317
ENSG00000207395,0.317
RFC3,0.316
DIO2,0.316
S100A16,0.316
ACTBL2,0.316
COL6A4P1,0.316
CCT6A,0.316
CSPG4,0.316
LAMC1,0.316
DPF1,0.316
KRT8P45,0.316
TBX18,0.316
FEN1,0.316
ENSG00000250286,0.316
E2F8,0.316
ASS1P9,0.316
SLC7A5,0.315
DLG1-AS1,0.315
PPP1R13L,0.315
LNC-LBCS,0.315
DDAH1,0.315
KRT8P14,0.315
ENSG00000259604,0.315
PRTG,0.315
PTTG1,0.315
SNX18P7,0.315
NCAPH,0.315
MYBL2,0.315
ENSG00000273297,0.315
SAPCD2,0.315
COL4A5,0.315
SLC25A21-AS1,0.315
ENSG00000254702,0.315
SKA1,0.315
PHLDA3,0.315
FAM86JP,0.314
NXN,0.314
LIMA1,0.314
FAM227A,0.314
TTC23,0.314
ENSG00000241690,0.314
CDT1,0.314
KRT9,0.314
ENSG00000228748,0.314
TMEM106C,0.314
KRT14,0.314
TBILA,0.314
MMP13,0.314
PFN2,0.314
FOXL2,0.314
CAV2,0.314
RHBDF1P1,0.314
DNAAF5,0.314
GLIS2,0.314
LMNA,0.313
ENSG00000216906,0.313
SMC4,0.313
LINC02861,0.313
MIR196A2,0.313
POLQ,0.313
NME1-NME2,0.313
ENSG00000261602,0.313
BUB1,0.313
RHPN2,0.313
ENSG00000267110,0.313
CMSS1,0.312
NR2F6,0.312
ASIC1,0.312
ENOX1,0.312
SRGAP1,0.312
PPFIBP1,0.312
NME2,0.312
FOLR1,0.312
RAB23,0.312
IRX4-AS1,0.312
ATP2A1-AS1,0.312
FOXP4-AS1,0.312
ENSG00000285205,0.312
KRT7-AS,0.312
LINP1,0.312
PUS7,0.312
UHRF1,0.312
LIFR,0.312
ENSG00000257653,0.312
FOXRED2,0.311
ANKRD13B,0.311
SLC39A6,0.311
RAI14,0.311
MIR6783,0.311
ENSG00000285970,0.311
ENSG00000285644,0.311
ENSG00000266261,0.311
ENSG00000232456,0.311
LINC00839,0.311
CCNA2,0.311
ENSG00000224516,0.311
KRT8P10,0.31
HAS2-AS1,0.31
CCDC34,0.31
EYA4,0.31
MACROD1,0.31
MAGEA11,0.31
ENSG00000260874,0.31
TFPI2-DT,0.31
ENSG00000235721,0.31
BEND6,0.31
ENSG00000251144,0.31
PLOD2,0.31
ENSG00000232386,0.31
TMEM213,0.31
HACD1,0.31
BCAN-AS1,0.31
GLIS1,0.31
LINC01121,0.31
ENSG00000275216,0.309
MAGI1,0.309
ENSG00000257086,0.309
LINC01397,0.309
LURAP1L-AS1,0.309
ENSG00000223528,0.309
ENSG00000275038,0.309
TMEM237,0.309
SOX9,0.309
C9ORF116,0.309
ENSG00000268287,0.309
ZIC5,0.309
MNX1-AS2,0.309
NCAPG,0.309
RNASEH2A,0.309
ENSG00000260633,0.309
ZNF488,0.308
MECOM,0.308
ENSG00000268108,0.308
PYGO1,0.308
HSPA9,0.308
LHX6,0.308
LINC02783,0.308
ENSG00000251602,0.308
ASS1P7,0.308
ENSG00000272769,0.308
ENSG00000276122,0.308
DUSP14,0.308
FSTL3,0.308
ENSG00000224621,0.308
ENSG00000261061,0.308
ANKRD18B,0.308
WNT3,0.308
RAD51AP1,0.308
MAD2L1,0.308
DCBLD2,0.308
CYSRT1,0.307
NOL3,0.307
ADGRG6,0.307
GINS3,0.307
GSC,0.307
ENSG00000241607,0.307
KRT18P25,0.307
RAD1,0.307
STIL,0.307
ENSG00000274798,0.307
NKX2-5,0.307
CAVIN1,0.307
ALDH1A3-AS1,0.307
ENSG00000276707,0.307
MEIS2,0.307
LINC00472,0.307
PSMG1,0.307
DUSP5P1,0.306
TLX3,0.306
ETV4,0.306
CALU,0.306
ENSG00000267036,0.306
LINC00460,0.306
CCDC87,0.306
HMGB3,0.306
PPP1R26-AS1,0.306
ENSG00000259460,0.306
LOXL2,0.305
ONECUT2,0.305
CDH24,0.305
B9D1,0.305
RAD51C,0.305
LINC01940,0.305
DIO2-AS1,0.305
CLSPN,0.305
ENSG00000267073,0.305
CACNB3,0.305
PPP1R14B,0.305
NPM1,0.305
ERCC6L,0.305
MIR711,0.305
LAMC2,0.305
PHB,0.305
ZNF503,0.305
ENSG00000197332,0.305
ZWILCH,0.305
CCDC74B,0.305
UNG,0.304
LINC01956,0.304
KRT18P27,0.304
ENSG00000234382,0.304
NANOS1,0.304
CASP14,0.304
EME1,0.304
DAG1,0.304
PHKA1P1,0.304
LAMA5,0.304
LINC01842,0.304
BDKRB1,0.304
CDKN2C,0.304
SLC6A9,0.304
ENSG00000231982,0.304
CCDC113,0.303
ENSG00000279312,0.303
GPR161,0.303
PSPH,0.303
EI24,0.303
ENSG00000285805,0.303
LOX,0.303
ARMC9,0.303
ENSG00000258983,0.303
CIP2A,0.303
MTCL1,0.303
PRKAA2,0.303
PFKM,0.303
DSP,0.302
ENSG00000236883,0.302
LINC01910,0.302
ENSG00000256894,0.302
JPT2,0.302
GXYLT2,0.302
E2F1,0.302
RGMB-AS1,0.302
LBX1-AS1,0.302
LIMCH1,0.302
APCDD1L-DT,0.302
CSE1L,0.302
TOMM40P1,0.302
HHIPL2,0.302
BNC2-AS1,0.302
ASAP2,0.302
PARD3,0.302
ENSG00000231864,0.302
MYO10,0.302
BAMBI,0.302
FKBP14,0.302
ADGRB2,0.301
TGFB2-AS1,0.301
CEP170B,0.301
MAPK15,0.301
MIR31HG,0.301
NOX5,0.301
TBC1D16,0.301
MYO1B,0.301
CLPSL2,0.301
ENSG00000177788,0.301
ENSG00000285102,0.301
BAG2,0.301
HSPA12A,0.301
CLDN4,0.301
PRKDC,0.301
ENSG00000279124,0.301
KIAA1522,0.301
LRP5,0.301
MIR6765,0.301
FZD4-DT,0.301
FIGN,0.3
CCDC86,0.3
CIT,0.3
PRELID3A,0.3
CGB8,0.3
WTIP,0.3
ENSG00000254548,0.3
EGFLAM,0.3
SLC1A5,0.3
MIR4701,0.3
NDC80,0.3
CKS1BP1,0.3
TUSC3,0.3
MTSS2,0.299
GNAS-AS1,0.299
HPCA,0.299
SATB2,0.299
FKBP4,0.299
PLPP2,0.299
KRT18P18,0.299
BRCA1,0.299
ENSG00000278385,0.299
HRCT1,0.299
GNA11,0.299
ENSG00000278995,0.299
DNAJA3,0.299
ADAMTSL5,0.299
CENPE,0.299
FASN,0.298
CRIM1-DT,0.298
GAL,0.298
THSD8,0.298
TTC26,0.298
CKS2,0.298
RCC1,0.298
ENSG00000249199,0.298
RIPK4,0.298
GPR39,0.298
ENSG00000253746,0.298
KCNK2,0.297
LRRC73,0.297
ENSG00000248694,0.297
AIF1L,0.297
NUP155,0.297
POGLUT2,0.297
ZNF205,0.297
CCT4,0.297
CLCA2,0.297
ENSG00000225173,0.297
IFT81,0.297
IGFL1P1,0.297
RASSF8-AS1,0.297
SRRM3,0.296
NCKAP1,0.296
KCNA7,0.296
KRT7,0.296
ENSG00000262521,0.296
ENSG00000259727,0.296
MYLK2,0.296
FGD1,0.296
LINC01165,0.296
DARS2,0.296
LINC01273,0.296
ENSG00000285867,0.296
ENSG00000256469,0.296
ENSG00000260757,0.296
PIR,0.296
TMEM270,0.295
ENSG00000273248,0.295
ENSG00000265415,0.295
ENSG00000267131,0.295
ENSG00000267404,0.295
AADAT,0.295
CAMK2N2,0.295
INPP5J,0.295
LINC00898,0.295
JAG2,0.295
ENSG00000257042,0.295
GLT8D2,0.295
KDELR2,0.295
ENSG00000224431,0.295
MGAT5B,0.295
KRT85,0.295
P4HA3,0.295
EEF1A2,0.295
ENSG00000258232,0.295
OSMR,0.295
CAMSAP2,0.295
ENSG00000275516,0.294
PSORS1C2,0.294
CTNNAL1,0.294
ENSG00000255692,0.294
FOXK2,0.294
IRX6,0.294
MOK,0.294
LINC01778,0.294
PERP,0.294
ENSG00000259977,0.294
ENSG00000232335,0.294
BARX2,0.294
TUBA1C,0.294
ACLY,0.294
ENSG00000236364,0.294
ENSG00000285743,0.293
PCDHB8,0.293
ENSG00000268655,0.293
CLBA1,0.293
RCCD1,0.293
LAPTM4B,0.293
ESX1,0.293
ENSG00000282787,0.293
PCOTH,0.293
NEK2P2,0.293
STUB1-DT,0.293
APBB2,0.293
ENSG00000281333,0.293
ENSG00000274356,0.293
HES2,0.293
ARTN,0.293
KLF5,0.293
ENSG00000228919,0.293
GATA6-AS1,0.293
BRIX1,0.293
PPP1R12A-AS2,0.293
PRRG1,0.293
PRPH,0.293
LRP4,0.293
DOCK6,0.292
PROCR,0.292
NTN4,0.292
ERRFI1,0.292
MCM7,0.292
CDC42EP1,0.292
ENSG00000250234,0.292
ENSG00000242078,0.292
CDON,0.292
ENSG00000285402,0.292
CDH15,0.292
SEPTIN10P1,0.292
ENSG00000265393,0.292
FAM72C,0.292
LINC00602,0.292
MYH16,0.292
VASN,0.292
MED15P9,0.292
DEPDC1P2,0.292
KIF15,0.292
GCAWKR,0.291
ALX1,0.291
EHD2,0.291
LINC01106,0.291
FANCI,0.291
GCSH,0.291
ENSG00000262712,0.291
POC1A,0.291
DLX5,0.291
PHLDB1,0.291
KNL1,0.291
ENSG00000284523,0.291
BAG3,0.291
HYKK,0.29
LMNB2,0.29
RPSAP52,0.29
B3GALNT2,0.29
TUBB6,0.29
DNAH5,0.29
MIR3658,0.29
LAMB2,0.29
STK4-DT,0.29
ENSG00000225913,0.29
FANCC,0.29
SENP3-EIF4A1,0.29
SHB,0.29
PIF1,0.29
TRIML2,0.29
SEMA3B,0.29
SERPINB7,0.29
TRAIP,0.29
TXNRD3,0.29
IQCH,0.29
PPP2R2C,0.289
ITGA2,0.289
NEDD4,0.289
STC1,0.289
LIN9,0.289
LRRC49,0.289
CENPW,0.289
ENSG00000254991,0.289
ENSG00000259191,0.289
SH2D4A,0.289
EIF3B,0.289
ENSG00000272046,0.289
RPP40,0.289
ZNRF3,0.289
MIR3650,0.289
FZD6,0.289
ENSG00000270182,0.289
RHPN1-AS1,0.289
FAM230C,0.288
ENSG00000258554,0.288
UACA,0.288
SP9,0.288
SNHG31,0.288
ENSG00000270036,0.288
TNKS1BP1,0.288
IGFL1,0.288
LINC00163,0.288
SCD,0.288
BCAM,0.288
ALDH7A1P1,0.288
KRT18P13,0.288
NMU,0.288
GINS4,0.288
C1QTNF1-AS1,0.288
ENSG00000257045,0.288
CLMP,0.288
LNCSRLR,0.288
